codigo_ibge,distribuidora
4307807,RGE SUL
1508407,CELPA
3516408,ELEKTRO
4123501,COPEL DISTRIB
1700400,ENERGISA TO
2103307,CEMAR
4214003,CELESC DIST
3304144,LIGHT
3132404,CEMIG DISTRIB
1100288,ENERGISA RO
3201407,ESCELSA
5001904,ENERGISA MS
3300704,AMPLA
5000203,ENERGISA MS
3162922,CEMIG DISTRIB
3503802,ELEKTRO
5205901,CELG
3516309,ELEKTRO
4215505,CELESC DIST
5103205,ENERGISA MT
2401008,COSERN
4110706,COPEL DISTRIB
3517505,CPFL PAULISTA
4217402,CELESC DIST
4319901,RGE SUL
4319505,RGE SUL
3539301,ELEKTRO
4122305,CELESC DIST
5101704,ENERGISA MT
5213087,CELG
4208104,CELESC DIST
2609402,CELPE
3510005,ENERGISA SS
3303401,ENERGISA MR
1502202,CELPA
3204906,ESCELSA
4216503,CELESC DIST
5101803,ENERGISA MT
5214002,CELG
4304408,RGE SUL
1100023,ENERGISA RO
4124509,COPEL DISTRIB
3155702,CEMIG GERACAO
2901353,COELBA
4110953,COPEL DISTRIB
3534708,CPFL JAGUARI
5002100,ENERGISA MS
4111209,COPEL DISTRIB
5006200,ENERGISA MS
4208807,CELESC DIST
4322400,RGE SUL
5206206,CELG
1500347,CELPA
4300802,RGE SUL
2606101,CELPE
2109007,CEMAR
2211209,CEPISA
3530300,CPFL PAULISTA
1718204,ENERGISA TO
3516853,CPFL PAULISTA
2706901,CEAL
4322806,RGE SUL
3147709,CEMIG DISTRIB
4320404,RGE SUL
3148103,CEMIG DISTRIB
3144508,CEMIG DISTRIB
3555000,ENERGISA SS
3533601,CPFL PAULISTA
4202859,CELESC DIST
3302601,AMPLA
2606002,CELPE
3523602,ELEKTRO
4321956,CRERAL DIST
3536307,CPFL PAULISTA
4321451,CERTEL DIST
5214507,CELG
4309100,RGE SUL
4210001,CELESC DIST
4313508,CEEE DISTRIB
4302808,RGE SUL
2601102,CELPE
3128709,CEMIG DISTRIB
3553302,ELEKTRO
2613701,CELPE
4211504,CELESC DIST
3522901,CPFL PAULISTA
1716109,ENERGISA TO
4211603,CELESC DIST
4304358,CEEE DISTRIB
4306908,RGE SUL
3129806,CEMIG DISTRIB
4318200,RGE SUL
4209607,CELESC DIST
4210100,CELESC DIST
3200904,ESCELSA
2308708,COELCE
3158953,CEMIG DISTRIB
2805604,ENERGISA SE
4127205,COPEL DISTRIB
2914406,COELBA
3502507,BANDEIRANTE
4213708,CELESC DIST
4203709,CELESC DIST
4207700,CELESC DIST
5208004,CELG
4101101,COPEL DISTRIB
4213005,CELESC DIST
3506359,ELEKTRO
2908507,COELBA
3117876,CEMIG DISTRIB
3540804,CPFL PAULISTA
4105607,COPEL DISTRIB
4201406,CELESC DIST
3511607,ELEKTRO
4319000,RGE SUL
5218003,CELG
4318309,RGE SUL
5106372,ENERGISA MT
4314803,RGE SUL
5213806,CELG
3500303,ELEKTRO
3505906,CPFL PAULISTA
3537503,ELEKTRO
5103353,ENERGISA MT
5100250,ENERGISA MT
4105409,COPEL DISTRIB
2412005,COSERN
1709500,ENERGISA TO
3515202,ELEKTRO
2207702,CEPISA
3304508,CEMIG DISTRIB
4120903,COPEL DISTRIB
3509700,ELEKTRO
2600302,CELPE
2101400,CEMAR
4214201,CELESC DIST
4104006,COPEL DISTRIB
4125803,COPEL DISTRIB
4304903,RGE SUL
2112209,CEMAR
4118006,COPEL DISTRIB
2931350,COELBA
3147402,CEMIG DISTRIB
5220405,CELG
4106605,COPEL DISTRIB
4218350,CELESC DIST
4126504,COPEL DISTRIB
4317608,CEEE DISTRIB
5214408,CELG
4320107,RGE SUL
4314050,RGE SUL
4110102,COPEL DISTRIB
4219101,CELESC DIST
2504603,ENERGISA PB
4306767,CEEE DISTRIB
4300406,RGE SUL
5007208,ENERGISA MS
4125704,COPEL DISTRIB
3119401,CEMIG DISTRIB
1100049,ENERGISA RO
3506508,CPFL PAULISTA
4312617,RGE SUL
3156908,CEMIG DISTRIB
2303501,COELCE
4321907,RGE SUL
3120904,CEMIG DISTRIB
2602308,CELPE
4316600,CRERAL DIST
5108857,ENERGISA MT
2306256,COELCE
2307007,COELCE
3306107,LIGHT
4312658,COPREL COOPERATIVA
3202405,ESCELSA
2932903,COELBA
3504008,ENERGISA SS
2804904,ENERGISA SE
2311405,COELCE
3147600,CEMIG DISTRIB
3546603,ELEKTRO
4203204,CELESC DIST
2301901,COELCE
1100189,ENERGISA RO
4213500,CELESC DIST
5215009,CELG
3506607,BANDEIRANTE
2404200,COSERN
3140704,CEMIG DISTRIB
3522703,CPFL PAULISTA
5209705,CELG
2804508,ENERGISA SE
3511409,CPFL JAGUARI
3514304,CPFL PAULISTA
3102605,CEMIG DISTRIB
4311304,RGE SUL
4102901,COPEL DISTRIB
3302858,LIGHT
4104501,COPEL DISTRIB
2309706,COELCE
3302700,AMPLA
5101258,ENERGISA MT
3302205,AMPLA
3128303,CEMIG DISTRIB
3110608,ENERGISA SS
3137601,CEMIG DISTRIB
4108601,COPEL DISTRIB
4203303,CELESC DIST
2925303,COELBA
4313201,RGE SUL
4320800,RGE SUL
5106307,ENERGISA MT
2907608,COELBA
1507458,CELPA
1506138,CELPA
4105300,COPEL DISTRIB
2304202,COELCE
3522109,CEDRI
4217808,CELESC DIST
1703867,ENERGISA TO
2604007,CELPE
5200308,CELG
3119955,CEMIG DISTRIB
5209952,CELG
4310801,RGE SUL
2111201,CEMAR
2307700,COELCE
3554805,BANDEIRANTE
5204508,CELG
4306403,RGE SUL
5106422,ENERGISA MT
5100409,ENERGISA MT
3539202,ELEKTRO
4208005,CELESC DIST
5100102,ENERGISA MT
2605202,CELPE
2603454,CELPE
4308508,RGE SUL
3305208,AMPLA
3525102,CPFL PAULISTA
3509601,CPFL PIRATINGA
3127602,CEMIG DISTRIB
3517604,ELEKTRO
2903607,COELBA
2506301,ENERGISA PB
4212502,CELESC DIST
4312807,RGE SUL
5105606,ENERGISA MT
4103040,COPEL DISTRIB
3200706,ESCELSA
3129509,CEMIG DISTRIB
3521002,CPFL PIRATINGA
3507902,CPFL PAULISTA
3134400,CEMIG DISTRIB
4116703,COPEL DISTRIB
3524808,ELEKTRO
3516705,CPFL PAULISTA
2306405,COELCE
4301651,CERTEL DIST
4315701,RGE SUL
3133501,CEMIG DISTRIB
2103000,CEMAR
3156304,ENERGISA MR
3502002,ELEKTRO
3104106,CPFL JAGUARI
4314134,RGE SUL
2609501,CELPE
3506300,CPFL JAGUARI
5105622,ENERGISA MT
4307609,RGE SUL
4307559,RGE SUL
5221858,CELG
3107406,CEMIG DISTRIB
3142205,ENERGISA MR
3148707,CEMIG DISTRIB
4322251,RGE SUL
4120101,COPEL DISTRIB
4310363,RGE SUL
5107875,ENERGISA MT
3524501,CPFL PAULISTA
3130200,CEMIG DISTRIB
3525706,CPFL PAULISTA
3521408,ELEKTRO
3302270,LIGHT
2407104,COSERN
4113304,COPEL DISTRIB
3504503,CPFL JAGUARI
2301109,COELCE
4312906,RGE SUL
3110004,CEMIG DISTRIB
3528502,ELEKTRO
3300803,AMPLA
5102504,ENERGISA MT
5103106,ENERGISA MT
2909307,COELBA
3169406,CEMIG DISTRIB
4206900,CELESC DIST
2407203,COSERN
2510808,ENERGISA PB
5208608,CELG
4122602,COPEL DISTRIB
5007505,ENERGISA MS
4204509,CELESC DIST
5006606,ENERGISA MS
3519055,CEMIRIM D
3111200,CEMIG DISTRIB
4200101,CELESC DIST
1504422,CELPA
3162104,CEMIG DISTRIB
4109708,COPEL DISTRIB
4306205,RGE SUL
4201208,CELESC DIST
4110409,COPEL DISTRIB
4312302,RGE SUL
3535507,ENERGISA SS
3547502,ELEKTRO
2804409,ENERGISA SE
1700301,ENERGISA TO
3145208,CEMIG DISTRIB
2503704,ENERGISA PB
2912806,COELBA
2805901,ENERGISA SE
2702306,CEAL
3521101,ELEKTRO
3502903,CPFL PIRATINGA
2924009,COELBA
5210000,CELG
3135100,CEMIG DISTRIB
3517406,CPFL PAULISTA
2933208,COELBA
3540002,CPFL PAULISTA
2806008,ENERGISA SE
1100098,ENERGISA RO
4208302,CELESC DIST
2307601,COELCE
4119509,COPEL DISTRIB
4204707,CELESC DIST
4104428,COPEL DISTRIB
4121406,COPEL DISTRIB
3515509,ELEKTRO
3527009,CPFL PAULISTA
4308102,RGE SUL
3114501,CEMIG DISTRIB
4208500,CELESC DIST
1702406,ENERGISA TO
4108809,COPEL DISTRIB
4214706,CELESC DIST
3172103,CEMIG DISTRIB
4126603,COPEL DISTRIB
1502772,CELPA
1100320,ENERGISA RO
3136306,CEMIG DISTRIB
